TOPIC,WORD,MEANING,SENTENCE
161. Brave,AUDACIOUS,bold or brave., The AUDACIOUS soldier went into battle without a shield.
161. Brave,CHIVALRY,"qualities, including courtesy, generosity and valor exhibited by a man.", Women always admire men who are chivalrous.
161. Brave,DAUNTLESS,fearless ., The DAUNTLESS reporters saved the lives of hundreds of tourists in the hotel.
161. Brave,GALLANT,brave., She made a GALLANT attempt to hide her tears.
161. Brave,INTREPID,fearless., The INTREPID reporters braved the threat of gunfire for the sake of their news reports.
161. Brave,PLUCK,courage., I finally mustered PLUCK to ask her for a date.
161. Brave,UNDAUNTED,fearless.," Again, he was disappointed, yet UNDAUNTED."
161. Brave,VALIANT,brave., It was a VALIANT attempt to prevent the hijack.
161. Brave,VALOUR,courage or bravery., He received the Medal of Honor for his valor in battle.
162. Delay / postpone,ADJOURN,postpone., The trial has been ADJOURNed until next week.
162. Delay / postpone,DEFER,delay or postpone., The department DEFERred the decision for six months.
162. Delay / postpone,PROTRACT,prolong.," The ruling brings an end to a heated, PROTRACTed court case."
162. Delay / postpone,SHELVE,postpone ., Authorities have drawn up bills in the past which were later SHELVEd.
162. Delay / postpone,TABLE,postpone., They voted to TABLE the proposal until the following meeting.
163. Disrepute/ bad reputation,Ignominy,public shame., They suffered the Ignominy of defeat.
163. Disrepute/ bad reputation,Infamy,infamous for some bad quality or deed.," They are seeking a sort of personal vindication through fame or, more precisely,Infamy."
163. Disrepute/ bad reputation,Nefarious,wicked or criminal.," It's getting as profitable as selling dangerous illegal drugs, and many Nefarious peopleare getting involved."
163. Disrepute/ bad reputation,Notorious,infamous for some bad quality or deed., That was a most Notorious gambling hall eighty years ago.
164. False / fake /doubtful,APOCRYPHAL,false., Most of the stories about him are APOCRYPHAL.
164. False / fake /doubtful,DUBIOUS,doubtful., I am DUBIOUS about the wisdom of this action.
164. False / fake /doubtful,ERRONEOUS,having error., The reporter's ERRONEOUS story was corrected by a new article that stated the truth.
164. False / fake /doubtful,FABRICATE,to fake or forge., The evidence was totally FABRICATEd.
164. False / fake /doubtful,FALLACIOUS,erroneous or misleading., The idea that gratification is a completion of the wish is FALLACIOUS.
164. False / fake /doubtful,ILLICIT,illegal., The man got caught with dangerous weapons and ILLICIT drugs.
164. False / fake /doubtful,PHONEY,false or fake., The sad truth is neither of these PHONEY claims have materialized.
164. False / fake /doubtful,SHAM,a false or fake act., She felt trapped in a SHAM of a marriage.
164. False / fake /doubtful,SPECIOUS,"apparently correct or true, but actually wrong or false.", His arguments and SPECIOUS comparisons are bogus and not worth seriouslyentertaining.
164. False / fake /doubtful,SPURIOUS,false or fake.," The quote is SPURIOUS, and it does not contain a grain of truth.Falsehood"
164. False / fake /doubtful,MENDACITY,lie., Often politicians are accused of hypocrisy and MENDACITY.
164. False / fake /doubtful,PERJURY,lie under oath., The witness is now facing charges of PERJURY.
164. False / fake /doubtful,PREVARICATION,avoid telling truth., Some people believe that PREVARICATION in a good cause is justifiable.
164. False / fake /doubtful,X VERACITY,truthfulness., He was not noted for his veracity.
165. Fear / lacking courage,COWER,to shrink in fear., A bomb went off and people COWERed behind walls and under tables.
165. Fear / lacking courage,CRAVEN,lacking courage., The government is too CRAVEN to prosecute the guilty millionaires and corporations.
165. Fear / lacking courage,CRINGE,move back or bend because of fear.," Whenever she thought about that incident, she CRINGEd with embarrassment."
165. Fear / lacking courage,DAUNT,make someone fearful., I felt somewhat DAUNTed by the prospect of the long drive home.
165. Fear / lacking courage,FLINCH,to shrink back in fear., He FLINCHed at the sight of the death.
165. Fear / lacking courage,INTIMIDATE,make someone fearful., Attempts to INTIMIDATE people into voting for them failed.
165. Fear / lacking courage,PETRIFY,scare someone greatly., Just the thought of making a speech petrifies me.
165. Fear / lacking courage,PUSILLANIMOUS,lacking courage., You should be ashamed of your PUSILLANIMOUS conduct during this dispute.
165. Fear / lacking courage,SHRINK,to move back or contract because of fear., This horrific accident can make anyone SHRINK in fear.
165. Fear / lacking courage,TREPIDATION,fear., The sailors viewed the gathering storm clouds with TREPIDATION.
166. Fluent / clear,ARTICULATE,express clearly and fluently., She struggled to ARTICULATE her thoughts.
166. Fluent / clear,COHERENT,"clear, logical and consistent.", She became COHERENT again only two hours after the attack.
166. Fluent / clear,ELOQUENT,express clearly and fluently., He was ELOQUENT when it came to addressing his office colleagues.
166. Fluent / clear,ENUNCIATE,"to articulate or pronounce (words), esp clearly and distinctly.", She ENUNCIATEd each word slowly and carefully.
166. Fluent / clear,GLIB,"talking fluently, but insincerely.", He is a GLIB salesman.
166. Fluent / clear,X LABORED,not fluent., The movie looks labored and slow by today's standards.
167. Genuine,AUTHENTIC,genuine., The kitchen of this restaurant turns out stylish versions of AUTHENTIC bistro- grilldishes.
167. Genuine,LEGITIMATE,genuine., It seemed like a perfectly LEGITIMATE question.
167. Genuine,VERITABLE,truthful., The show presents a picture of VERITABLE emotional turmoil.
167. Genuine,X COUNTERFEIT,not genuine., Are you aware that these notes are counterfeit?
167. Genuine,X FACTITIOUS,artificially created., Bollywood actresses often shed factitious tears by using glycerin.
168. Gloomy /dark/ hopeless,ABYSMAL,extremely or hopelessly bad., His manners are ABYSMAL.
168. Gloomy /dark/ hopeless,BLEAK, hopeless, His future is BLEAK.
168. Gloomy /dark/ hopeless,GLOOMY,"dark,depressing.", A GLOOMY view of the future.
168. Gloomy /dark/ hopeless,SOMBER,"gloomy, depressing, or dismal.", Funerals and burials tend to be very SOMBER occasions.
168. Gloomy /dark/ hopeless,STYGIAN,dark or gloomy., This is the kind of book that romance fans will read and reread on styygian days.
169. Highest point,ACME,the highest point., His work is considered the ACME of cinematic art.
169. Highest point,APEX,the highest point., An actor who wins an Oscar can say she's reached the APEX of her career.
169. Highest point,CREST,the highest point., The continental divide stretches across the CREST of the rocky mountains.
169. Highest point,PINNACLE,the highest point., He had reached the PINNACLE of his career.
169. Highest point,SUMMIT,the highest point., The SUMMIT of one's ambition.
169. Highest point,X ABYSS,"a deep, immeasurable space, gulf, or cavity.", They took a long look into the abyss before deciding whether to jump.
169. Highest point,X NADIR,the lowest point., The nadir of David's life came in a brief two month period when his wife left him and hegot fired.
169. Highest point,ZENITH,the highest point., His career is now at its ZENITH.
170. Illogical / strange,ABSURD,"really silly, absolutely ridiculous, or total nonsense.", The student have this ABSURD excuse that the dog ate his homework.
170. Illogical / strange,ATYPICAL,not typical.," In time, the patient may express ATYPICAL personality disorders."
170. Illogical / strange,BIZARRE,strange., Unpredictable behavior is often considered BIZARRE.
170. Illogical / strange,LUDICROUS,ridiculous or nonsensical., It was LUDICROUS to think that plan will succeed.
170. Illogical / strange,OUTLANDISH,strange., This idea is not as OUTLANDISH as it seems.
170. Illogical / strange,PREPOSTEROUS,ridiculous or nonsensical., His ability to contrive a really PREPOSTEROUS situation is impressive.
170. Illogical / strange,UNCANNY,strange., You have the UNCANNY knack of reading my innermost thoughts.
171. Native / local,DOMESTIC,"related to one's own country, as apart from other countries."," The newspaper offered him a column-writing about foreign, but not DOMESTIC, affairs."
171. Native / local,INDIGENOUS,native.," These policies encapsulate human capital, both INDIGENOUS and from immigration."
171. Native / local,X EXOTIC,foreign., He travelled around the globe to collect rare and exotic plant species.
